Provincia,No Electrificados,Cocción Combustibles No Modernos
Azua,8.07%,26.86%
Baoruco,12.43%,35.57%
Barahona,8.92%,28.14%
Dajabón,15.34%,22.96%
Distrito Nacional,0.31%,0.97%
Duarte,4.19%,15.07%
El Seibo,27.62%,37.30%
Elías Piña,30.20%,59.50%
Espaillat,3.21%,11.62%
Hato Mayor,10.82%,24.43%
Hermanas Mirabal,5.08%,22.72%
Independencia,11.34%,34.97%
La Altagracia,8.96%,9.62%
La Romana,5.46%,6.82%
La Vega,3.41%,10.53%
María Trinidad Sánchez,4.40%,14.32%
Monseñor Nouel,1.89%,10.04%
Monte Cristi,16.05%,23.83%
Monte Plata,9.78%,32.07%
Pedernales,32.44%,42.66%
Peravia,2.17%,15.05%
Puerto Plata,5.49%,16.32%
Samaná,23.69%,15.42%
San Cristóbal,2.14%,13.58%
San José de Ocoa,16.51%,32.38%
San Juan,10.63%,34.59%
San Pedro de Macorís,3.27%,11.56%
Sánchez Ramírez,4.14%,18.08%
Santiago,1.48%,7.04%
Santiago Rodríguez,20.19%,24.65%
Santo Domingo,0.77%,3.16%
Valverde,8.42%,17.40%
